Survey;Label
Penyampaian materi dari bapak sangat baik dan mudah di mengerti.;positif
belum ada saran masukan;positif
Belum terdapat saran untuk bu , karena beliau sangat baik dalam pengajaran ataupun sikap pada Siswa;positif
alhamdulillah tidak ada pakk.....;positif
tolong kalau waktu kelas probstat jangan diisi full 3 Jam bu:);negatif
Untuk pengajaran materi sudah fleksibel namun perlu adanya kejelasan timeline dalam memberikan tugas agar Siswa bisa me manage waktunya;negatif
tidak ada;positif
sangat baik dan cocok mengajar lagi;positif
dear pak share materi di elearning won't harm anybody, I think that's all, thank you pak;negatif
Terima kasih atas materi dan bimbingan yang telah ibu berikan selama satu semester ini.;positif
tolong lebih ditingkatkan lagi komunikasi/interaksi antara guru dengan Siswa;negatif
semangat terus bapak/ibu guru;positif
sudah mengajar dengan baik;positif
Pelajaran offline;negatif
ada kurang nyaman nya karena mungkin online . Nanti semoga bisa ada kelas offlinenya sehingga materi yang di sampaikan pemateri dapat di pahami.;negatif
semoga kedepannya, kalau kelas secara online jadi di informasikan Pelajaran online;negatif
Sudah cukup bagus dalam mengajar dan memberikan kebiasaan kepada Siswa agar tidak telat;positif
semoga tetap konsisten untuk mengajar dengan baik;positif
sangat baik dan efisien;positif
Offline sekali sekali pak;negatif
Dalam aktifitasnya pengajaran oleh pak sudah bagus beserta dengan materinya yang sangat bagus.;positif
Mungkin dalam penyampaian materi ppt bisa diubah menjadi bervariasi templatenya agar kesannya lebih menarik dan estetik setiap pertemuannya hehe;negatif
banyak jam kosongnya sehingga kami kurang dalam penyerapan ilmu pembelajaran;negatif
Segala Materi dan tugas yang diberikan cukup berat namun juga menghibur dan memperkuat solidaritas antar Siswa;positif
Semangat terus dan semoga tetap bisa memberikan yang terbaik;positif
Saran saya untuk guru pengampu yakni tetap melakukan pembelajaran dengan sangat baik.;positif
semangat pak;positif
untuk cara menjelaskannya mungkin agak dipelanin sedikit;negatif
pengajarannya kadang susah dipahami;negatif
Semoga bisa menjadi yang terbaik;positif
Tetap semangat mengajar siswa, bu;positif
sama sih.. jangan ngasih tugas yang susah pak;negatif
Untuk bu lebih pelanpelan dalam memberikan materi Pelajaran, sehingga kami dapat memahami satu persatu materi dengan baik.;negatif
Sarannya di semester depan diajar oleh ibu lagi hehehe;positif
Untuk penyampaian materi sudah cukup jelas, sebaiknya dipertahankan sampai kedepannya;positif
sudah bagus guru sangat memperhatikan murid;positif
Lain kali kalo ngomong bisa sedikit lebih keras agar mehasiswa bis mengerti dan tidak mengantuk;negatif
Pak mengubah sudut pandang sebuah Metode Numerik yang terlihat sulit menjadi mudah, semoga kedepannya Bapak bisa menjadi pelopor agar Siswa terus tertarik untuk belajar;positif
Rekomendasi buku bahasa indonesia;positif
Saya berasa terlalu banyak materi yang ada dalam 1 pertemuan, seperti saya belum memahami materi sebelumnya dan sudah lanjut ke materi selanjutnya, it feels super overwhelming, thats my personal take :);negatif
mungkin cara menjelaskan agak perlahan;negatif
semoga bisa di adakan pertenuan offline;negatif
bagus terimakasih pak;positif
baik, tetapi kurangnya penyampaian secara jelas pada submission yang Siswa akan kerjakan;negatif
Semoga dapat lebih aktif lagi dalam mengajar di kelas;positif
jadwalnya kepagian bu;negatif
tetap semangat pak;positif
Semoga next time kalo bertemu lagi offline bu;positif
semoga lebih baik lagi dan sabar;positif
Semoga bisa bertemu lagi di semester depan. Terimakasih bu;positif
Cukup baik;positif
DAMN RIGHT highly recommend... Great lecturer;positif
No Words honestly :D;positif
Kelas OFFLINE pasti seru Pak ¿¿¿¿;negatif
kayaknya lapraknya butuh dikurangin dikit pak hehe;negatif
Tidak ada saran, tetapi saya apresisasi Pak mantapp;positif
saran saya saat penyampaian materi probabilitas yang banyak ini jangan terlalu cepat karena beberapa Siswa perlu waktu untuk memahaminya dan terimakasih sudah menyampaikan materi dengan baik selama satu semester ini.;negatif
lebih ditingkatkan lagi cara mengajarnya;positif
Pak , saranghae.;positif
Sebaiknya perlu untuk menerapkan metode pembelajaran yang variatif supaya Siswa tidak jenuh untuk memperhatikan materi yang disampaikan;negatif
Terima kash banyak saya haturkan untuk Bapak dan Ibu Guru yang sudah sabar dan telaten mengajari Siswa asynchronous.;positif
Belum ada saran dari saya ibu terimakasih;positif
cara menjelaskan materi kepada siswa kurang dimengerti;negatif
terima kasih atas seluruh proses pembelajaran yang baik;positif
Tidak ada saran, karena menurut saya guru sudah memberikan pemebelajaraan secara baik.;positif
Untuk menjelaskan jangan cepat cepat pak dan supaya lebih jelas lagi untuk menjelaskan materinya, terima kasih;negatif
Proses belajarnya sudah sangat baik;positif
beliau asik juga dalam memberikan materi namun saya yang kurang paham;positif
alhamdulillah baik;positif
Terkadang ada jeda aneh saat penyampaian materi;negatif
semoga tetap menjadi lebih baik;positif
Dimohon kepada guru ketika mengajar untuk lebih mengeraskan suara sedikit dan lebih komunikatif. Namun, untuk keseluruhan sudah baik dan terimakasih telah memberi ilmu pada semester ini.;negatif
sebaiknya dalam menerangkan materinya lebih pelan sedikit;negatif
Sebenarnya tidak ada saran, namun saya ingin menyampaikan pesan. Tubesnya mempersulit kami para siswa:(;negatif
Belum ada;positif
semoga pembelajaran kedepannya semakin baik;positif
Saya sangat senang diajar oleh ibu , tambahan semoga kedepannya materi pembelajaran di zoom seperti ppt dan sebagainya dapat diupload di e learning sesuai pertemuan agar lebih memudahkan kami ketika ingin mengulang/mereview kembali materi yang telah diajarkan. Karena jika di whatsapp dokumen yang dikirim bisa expired, itu saja saran dari saya sekian terima kasih banyak untuk bu yang telah mengajar kami dengan sangat baik.;negatif
Tetap menjadi guru idaman;positif
Cara mengajarnya sudah baik.;positif
Gurunya pintar menyampaikan materi, seru juga karena sering ada sesi tanyajawab namun terkadang tugasnya bikin pusing :(((;positif
Bu salah satu guru yang menyenangkan sekali, tetapi semoga semester ini PPT nya jangan ful bahasa inggris, kurang menyerap di otak;negatif
Sistem pengajaran sudah baik, Terima kasih;positif
saran saya yaitu agar guru dpt lebih detail lagi dalam menjelaskan materi sehingga materi lebih mudah dipahami;negatif
Materinya jika bisa disampaikal melalu PDF saja, karena kalau video sedikit sulit untuk mencari materi yang ingin dipelajari;negatif
kurangnya penyampaian materi karena Siswa banyak disuruh mengerjakan tugas ppt.;negatif
Untuk penyampaian materi atau tugas nya tolong lebih detail lagi;negatif
sejauh ini sudah sangat baik;positif
T idak ada;positif
terlalu kecepatan saat menjelaskan;negatif
lebih meningkatkan interaksi dengan Siswa;negatif
tetap semangat;positif
sudah cukup baik, tetapi terkadang terlalu cepat dalam penyampain materi;negatif
Mantap pak banyak jam kos nya hemhe;positif
Pertahankan apa yang sudah baik.;positif
mungkiin untuk cara bicaranya lebih di perjelas lagi dan tidak terlalu buruburu. selebihnya sangat baik;negatif
Semoga menjadi lebih baik dari sebelumnya;positif
Sangat membantu;positif
good but;positif
asik dan harus lebih berani membahas tepi jurang cuaksss;positif
Semoga kedepannya guru bisa berinteraksi secara langsung dengan Siswa;positif
Guru terbaik lahh;positif
untuk penyampaian materi lebih interaktif dengan Siswa;negatif
mohon dipertahankan;positif
Untuk penjelasan mteri lebih baik menjelaskan sambil berdiri agar lebih memicu interaksi dengan Siswa;negatif
SEMOGA BAPAK MENGAJAR LEBIH BAIK DARI SEBELUMNYA;positif
mantap pak;positif
Diadakan praktek;negatif
tidak ada yang disarankan;positif
Sedikit out of context;negatif
Jujur bu saya awal presentasi kemaren agak terpukul dengan koreksian ibu tentang tubes proposal bu sampaisampai di seluruh mapel yang memang ada tubes nya saya merasa klo di awasin guru bahasa indonesia bu seluruh ejaan yang salah atau pun sesutau yang terlewat saya komenin, tapi setelah itu saya tau klo memang bimbingan ibu sangat berguna untuk kedepan nya saya nanti terimakasih banyak bu jazakallahu khoirion;positif
Penyampaian materi sudah baik dan mudah dipahami. Semoga bisa dipertahankan dan lebih semangat lagi. Terimakasih atas ilmunya bu;positif
Maaf saya tidak tahu bagaimana beliau dalam mengajar karena selama satu semester ini beliau menggunakan mbak asisten yang saya kira mbak asisten tsb sangat baik dalam mengajar membuat saya insecure padahal mbak asisten masih semester 5 sudah punya skill seperti itu.;positif
sumpa lebih baik dalam sistem dan metode pengajaran;positif
Semoga lebih baik dri hari sebelumnya;positif
Nilai A+ pak¿¿¿¿;positif
Tidak ada. Semoga bisa bertemu lagi di semester depan. Terima kasih pak;positif
The bestt;positif
sudah sangat baik;positif
saran dari saya ibu tolong perbanyak latihan soalnya;negatif
Saya berharap kedepannya materi bapak menjadi mudah untuk difahami ¿¿¿¿;negatif
Sudah melakukan yang terbaik;positif
baik silp;positif
Profesional;positif
semoga lebih seru lagi dalam mengajar agar siswa/mahasiswi dapat mudah menyerap materi yang disampaikan;positif
Bapak Guru sudah sangat baik dalam menjelaskan Materi dan memberi kesempatan berinteraksi;positif
Setidaknya ada kelanjutan materi yg akan dibahas;negatif
terimakasih pak ilmu dan pembelajarannya;positif
mungkin lebih kreatif lagi saat menyampaikan materi, overall udah bagus;negatif
Tugas yang sesuai;positif
Keep it going untuk bapak/ibu, respect for all of you.;positif
baik saja dalam 1 semester ini;positif
terima kasih;positif
Tetap semangat pak untuk mengajarnya sehat selalu pak...;positif
Lebih di jelaskan lagi materinya mungkin perumpamaan yang di sampaikan kurang related dengan materi.;negatif
tidak ada pak;positif
Tidak ada saran, karena Gurunya sangat baik hati dan sabar;positif
Mantap PAk;positif
Semua sudah baik;positif
guru Pelajaran sangat baik dalam melakukan bimbingan belajar Pelajaran pemrograman Perangkat Bergerak;positif
Menurut saya apa yang di sampaikan bu di awal semester dan pengumpulan tugas yang sekarang tidak sesuai karena diawal hanya diminta membuat paper tanpa ketentuan apa pun tapi di akhir diminta referensi yang banyak selain itu ppt, poster dan animasi pun juga menyulitkan kami karena dikatakan di minggu akhir pengumpulan.;negatif
seringsering berbuat baik dan intriopeksi dirinya masingmasing;negatif
sama sih bu;positif
Ditingkatkan gaya mengajarnya, kearah yang interaktif agar Siswa kelas pagi dapat lebihh memperhatikan;negatif
lebih tanggap terhadap anak yang belum bisa mengerjakan;negatif
bu terbaik;positif
terkadang saat pembelajaran, penjelasan materi berlangsung terlalu cepat;negatif
Terima kasih sudah membimbing kami selama satu semester, Bu.;positif
pak asik;positif
tetap semangat bu guru untuk mengajar kita sebagai Siswa;positif
Sangat baik saat memberikan materi;positif
Semangat selalu pak SIPLHOO! :);positif
tugas kurang jelas;positif
Semoga kedepannya semakin baik lagi;positif
Terima kasih dengan semua yang sudah di ajarkan sehat selalu dan bertambah rezekinya;positif
semoga ibu tidak lupa untuk mengupload materi Pelajaran dan tugas. karena ibu terkadang lupa untuk mengupload materi Pelajaran dan mengupload tempat untuk mengumpulkan tugas di elearning dan semoga ibu tidak pelit nilai;negatif
kaib;positif
semoga lebih baik lagi kedepannya dalam pembelajaran;positif
Tidak ada, Pak guru the best;positif
bentuk soalnya diperbanyak buu;positif
Aman;positif
kedepan nya di perjelas matematika nya;negatif
cara mengajar pak mudah dipahami dan jika saya ada kebingungan dimapel basis data langsung tanya ke pak dan dijawab dengan baik juga, terima kasih pak;positif
Susah;negatif
Kereen;positif
sangat baikk;positif
semangat;positif
Saran dari saya, semoga bapak/ibu dapat memperpanjang batas waktu pengumpulan tugas, sehingga kami tidak terlalu terbebani dan dapat mengerjakannya dengan maksimal;negatif
terkait untuk penyampaian materi.untuk materi rumit di mohon untuk disampaikan pelanpelan;negatif
metode saat menyampaikan materi dapat di improve menggunakan media power point, karena media yang dipakai langsung menunjuk ke halaman pada ebook menggunakan cursor (full berbahasa inggris) sehingga kurang dapat dipahami oleh siswa;negatif
Tolong pak kalau praktikum dikelas jangan cepat pak bukan karena otak Siswa lemot pak tapi tidak semua Siswa memiliki device laptop yg mumpuni pak termasuk saya pak laptop saya sudah 6 tahun usianya kadang suka lemot tanpa sebab pak mohon lah pengertiannya pak;negatif
pemberian materi pendalaman bab akan materi yang disampaikan untuk setiap pertemuan;negatif
good pak;positif
Untuk sementara ini secara keseluruhan menyenangkan dan saya dapat menerima materi dari guru dengan baik;positif
sudah baik,semoga bisa lebih baik lagi;positif
Tida ada, hanya lebih ke pembelajaran dilaksanakan secara offline. Terimakasih bu;negatif
semoga pelajarannya lebih gampang lagi;negatif
Mungkin bisa ditambah dengan pdf atau ppt pak. karena beberapa yang dijelasin bapak terlalu cepat untuk ditulis;negatif
berikan kesempatan interaktif saat pembelajaran, bukan pertanyaan pada akhir.;negatif
Tidak ada penyampaian nilai pada tengah semester;negatif
semoga lebih fleksibel dengan Siswa;negatif
Sudah sangat baik. Hanya saja kurang interaksi dengan Siswa (pembelajaran online). Terimakasih;negatif
Banyaknya jam kosong,jika memungkinkan digantikan dengan guru lain sesuai kekmampuan untuk menggantikan sementara di hari tersebut saja.;negatif
Sipp dah sipp;positif
materi pembalajarannya sangat banyak dengan waktu yang singkat mungkin bisa di pecah lagi untuk Pelajaran statistika. mungkin perlu juga di beri praktik mengenai statistika;negatif
Untuk materi yang disampaikan sangat jelas, sebaiknya bisa selalu seperti ini sampai kedepannya;positif
bisa lebih baik;positif
Semoga kedepannya bisa lebih baik lagi ibu terimakasih 1 semester ini sukses selalu.;positif
Terbaik dan seru materinya;positif
Mungkin dalam Pelajaran kelas offline, jika tidak bisa dilaksanakan atau kendala, sebaiknya bisa dilaksanakan dengan kelas online agar bisa mengejar waktu dan materi yang akan diberikan;negatif
sudah baik dalam menyampaikan materi;positif
Kurangnya internet merupakan pemicu pembelajaran;positif
Terdapat guru yang tidak cocok dalam pekerjaannya akan tetapi masih dipekerjakan, hal ini membuat siasia Pelajaran yang diampu apalagi Pelajarannya menyangkut pembahasan metodologi dalam pembuatan proposal akhir;negatif
cara mengajar sudah sangatt baik dan semoga terus dipertahankan;positif
Sudah sangat baik dalam segala halnya;positif
mudah dipahami;positif
nay;negatif
Udah bagus dalam menyampaikan materi dan di harapan untuk kedepannya bisa lebih baik lagi;positif
jika ada Pelajaran jangan saat libur akhir pekan;negatif
terima kasih bu atas ilmu nya. mohon maaf dalam pehaman dan penugasan saya yang belum cukup baik. sedikit saran, mungkin bila Siswa bertanya melalui wa bisa diberi tanggapan bu. karena itu kami tanyakan dengan alasan memang kami tidak tahu dan ingin sungguhsungguh tahu;negatif
baik dalam penjelasan;positif
lebih dievaluasi lagi, di semester ini beberapa guru kurang bisa menjelaskan materi dengan baik;negatif
Saran saya Bu kalo mengajar dengan cara berkomunikasi dengan Siswa nya supaya tidak bosan;negatif
Pelajaran materi Jarkom saya rasa sangat baik;positif
materi yang berikan mudah dipahami oleh Siswa;positif
Love untuk Pak .;positif
saran saya untuk Pelajaran statistika tugasnya banyak, ada kuis ada tugas besar kasian saya dan temanteman saya kewalahan dengan banyaknya tugas semoga kedepannya tidak seperti ini lagi. Dan untuk guru Pelajaran manajemen proses bisnis kalau dichat Siswa seharusnya dibalas karena balasan dari guru memberikan informasi kepada Siswa;negatif
Terima kasih BU;positif
Penyampaiannya mungkin bisa lebih jelas, karena tiba2 menggunakan dbeaver padahal sebelumnya belum pernah sama sekali diberitahu apknya maupun caranya. Setiap praktikum tidak mengerti;negatif
Tidak ada saran soalnya guru bagus dan baik dalam mengajar yang membuat Siswa lebih aktif.;positif
Tidak ada, guru terbaik selama 1 semester saya di;positif
Mungkin lebih banyak diajarkan secara praktik dibanding teori;negatif
Saran dari siswa, jika berkenan guru perlu menghadirkan variasi mengajar baru dengan memberikan isuisu relevan pada masa kini.;negatif
lebih di perbanyak offline dan sesuai jurusan biar ga campur;negatif
ibu guru dapat lebih pelan dalam menjelaskan materi dan memberikan kesempatan para siswa/i untuk menyerap ilmu yang diberikan.;negatif
penyampaian kurang bisa dimebgerti;negatif
semoga bu sehat selalu, dan terimakasih atas ilmunya untuk satu semester ini bu;positif
nihil;positif
Saran saya untuk Ibu pada saat menjelaskan jangan terlalu cepat dan misal para Siswa diberi waktu untuk menulis materi jangan terlalu cepat juga durasinya. Mungkin sekitar 10 menitan sudah cukup terima kasih;negatif
Snagst baik;positif
bapak keren beut;positif
sangat baik kalau mengajar :);positif
semoga bisa lebih di tingkatkan lagi;positif
gitu;positif
ditingkatkan lagi cara mengajarnya bu;positif
semoga pembelajaran berikutnya dapat lebih baik dan berjalan dengan lancar;positif
Bu is de best;positif
SEMOGA SEHAT SELALU PAK;positif
Tidak ada, bapak nya udah jago dalam statiska. Hanya saja kalau bikin soal UTS jangan susah2 pak :);positif
bu sangat sabar;positif
semoga kedepanya bisa lebih baik lagi;positif
Semoga tidak hybrid lagi, semoga pembelajarannya lebih baik lagi;negatif
sudah baik,;positif
Kereenn;positif
Secara keseluruhan guru telah memberikan yang terbaik. Terimakasih telah memberi ilmu pada semester ini.;positif
Selama di kelas agak susah mendengar apa yang dikatakan guru dan banyak teman sekelas saya menyarankan untuk menggunakan speaker mini karena suara guru yang menyampaikan materi di kelas tidak terdengar di belakang.;negatif
Sering Tatap muka bu dalam pembelajaran nya, agar lebih mudah untuk di pahami. Terimakasih;negatif
Alhamdulillah sudah cukup baik, mungkin kedepannya bisa diadakan secara offline agar para Siswa bisa lebih disiplin;negatif
Materinya jangan terlalu banyak dalam satu kali pertemuan;negatif
Tetap enjoy bu;positif
Untuk kedepannya mungkin saat bapak menjelaskan materi bisa lebih pelan dan lebih terperinci. Terima kasih bapak, atas materi dan bimbingannya di satu semester ini.;negatif
Mungkin kalau kasih info jika kelas ditiadakan jangan dadakan, karena banyak temanteman yang rumahnya jauh buat datang ke sekolah tapi tidak ada Pelajaran dan akhirnya balik lagi tanpa dapat apa apa;negatif
sudah sangat baik teruskan hehe;positif
Terimakasih sudah membimbing selama 1 semester pak.;positif
semoga sukses kedepanya;positif
Saran agar tidak banyak memberikan tugas untuk siswa. Terima Kasih.;negatif
makasii bu, materinya kerennn;positif
mohon saat menjelaskan jangan terlalu cepat, karena terkadang ada kendala jaringan, jadi kurang jelas;negatif
Kalau udah mau akhir Materi minimal masuk lah;negatif
Saran saya untuk guru pengampu yakni tetap melakukan pembelajaran dengan baik;positif
Siswa tidak bisa menguasai materi karena pengajaran kurang;negatif
Lebih ditingkatkan lagi menjadi guru yang lebih baik lagi;positif
jangan sering berpatok pada teori dasar;negatif
Tetap semangat terus pak.;positif
tugas akhirnya sangat menguras biaya banyak pak;negatif
Sudah bagus metode pembelajaran nya;positif
semoga materi yang diberikan kedepannya mudah untuk di pahami terkasang ada materi yang sulit untuk di pahami;negatif
ditambahkan tugas latihan soal agar Siswa lebih mendalami materi;negatif
Mengajar secara interaksi langsung bukan hanya record an zoom saja. pemberian materi sangat kurang tapi tugas sangat banyak;negatif
Ditambah materi pembelajaran;negatif
Sudah cukup baik dalam menjelaskan materi;positif
keren;positif
semuanya baik, namun untuk sebagian praktikum terkadang tidak bisa digunakan dengan maksimal, sehingga menggunakan aplikasi pada laptop.;negatif
untuk mengumpulkan tugas di elearning berkata perwalian tapi saat sudah di kumpulkan anggota yang di wakilkan tidak otomatis submit , jadi kami Siswa bingung dan was was melihat tugas yang tiba tiba overdue;negatif
cukkup baik;positif
Kalau bisa lebih sering masuk terima kasih;negatif
Untuk saran nyaa jangan terlalu sering untuk meniadakan kelas menjadi kelas kosong pelajaran statistika asyik;negatif
Semangat bu;positif
Mungkin kedepannya bisa lebih baik lagi dalam penyampaian materi dan penguasaan materi nya;negatif
Sebaiknya diberi materi terlebih dahulu baru latihan soal;negatif
Sudha baik;positif
Materi sedikit sulit di pahami;negatif
Bu guru sudah memenuhi semua aspek dengan sangat baik.;positif
saran tidak ada sudah bagus;positif
Semoga bisa bertemu di semester depan lagi. Terimakasih Bu;positif
Guru harus mampu menjelaskan terkait hal yang akan di sampaikan kepada Siswa nya, tidak dengan Siswa yang mencari jawaban dengan sendirinya;negatif
makasih ibuuu;positif
semakin semangat;positif
Saran agar bisa offline sehingga materi yang disampaikan lebih maksimal.;negatif
Tingkatkan selalu;negatif
Bu sudah memberikan materi sesuai dengan RPS serta penjelasan yang mudah dipahami kemudian memberikan contoh kasus di kehidupan nyata. Dan kalau UAS/UTS tugasnya tugas besar yang mana melakukan analisis dimana kita bisa menggunakan materi yang telah disampaikan agar di aplikasikan di kehidupan nyata dan menjadikan solusi atas suatu permasalahan di masyarakat;negatif
mohon maaf bpk/ibu guru mohon nilaiku dtingkatkan .soalnya saya sudah semangat Pelajarannya,nanti kalo nilaiku jelek auto menurun semangatku untuk belajar lagi,cukup sekian dari saya ada kurang lebihnya mohon maaf wassalamualaikum/wrb;negatif
Tetap menjadi guru favorit sayaa, terimakasih banyak bu sudah sabar dan baik dalam memberikan pembelajaran.;positif
Semoga lebih baik lagi kedepannya.;positif
lebih ditingkatkan lagi untuk pemberian materi;negatif
Membuat kelas menjadi interaktif dan menyenangkan.;positif
lebih sering lagi interaksi dengan Siswa;negatif
belum ada saran, guru sangat baik dalam mengajari siswa.;positif
semoga materi yang disampaikan selalu menjadi pengantar terbaik untuk Tugas Akhir Siswa;positif
Lebih banyak meme nya lagi pak, biar pembelajaraannya makin seru.;positif
tugas besar seharusnya dari semua apa yang sudah dipelajari dalam Pelajaran tetapi guru memberikan tugas besar yang sangat kurang sesuai dengan materi pembelajaran yang diberikan;negatif
Sangat baik sangat ingin sekali belajar dengan bapak lagi;positif
terima kasih atas seluruh proses pembelajaran yang berjalan dengan baik;positif
kekurangannya pedjawalan tugas di elearning perwakilan tapi saat di cek 1 tidak tercentang otomatis seperti Pelajaran psi;negatif
Sudah baik;positif
materi yang diberikan mudah dipahami oleh Siswa;positif
Pemberian saran sangat baik dan mudah dipahami, semoga tetap dapat dipertahankan;positif
Untuk deadline tugas jangan di hari itu juga kalau bisa diberi waktu yang lebih;negatif
keseluruhan sudah baik;positif
fokus saja pada satu bidang keilmuan, soalnya waktu responsi sangat tidak efektif;positif
Bagi saya Bu sudah cukup sangat baik dalam penyampaian materi atapun saat memberikan tugas;positif
Semangat bu menjalani semua aktivitas semoga rezekinya dipermudahkan;positif
mungkin untuk kedepannya untuk materi bsa di share dulu di e learning biar kita Siswa bsa mengaksesnya tanpa hatus melihat dr zoom saja;negatif
Sangat baik;positif
Saran saya tetap menjadi guru yang humoris dan mencairkan suasana kelas;positif
Tidak ada keluhan;positif
untuk pembelajaran sudah sangat baik dan serius;positif
Lanjutkan;positif
semangat mengajarnya bu;positif
sudah cukup baik dalam memberi pembelajaran;positif
tidak ada saran karena guru sudah memberikan yang terbaik untuk Siswa;positif
Sudah memberi materi dengan baik, tetapi ada kekurangan dalam penerangan tugas tugas yang dikerjakan;negatif
Lebih baik lagi kedepannya;positif
Kedepannya semakin ditingkatkan proses belajar mengajarnya;positif
perbanyak interaksi dengan Siswa;negatif
lebih sering melakukan pembahasan soal, terlebih setelah quiz dan jawaban kuiz Siswa dapat dibagikan sehingga bisa dipelajari lagi.;negatif
sebaiknya lebih dispesifikkan lagi setiap jurusannya, karena kadang tema yang diberikan oleh pemateri hampir tidak ada kaitannya dengan jurusan.;negatif
pertahankan cara mengajarnya bu;positif
perbanyak event;negatif
kurangnya pemberian latihan untuk peserta didik saat praktikum;negatif
Selalu menjadi guru yang berkualitas dan selalu siaga untuk siswanya;positif
Kurangnya media latsol jadi dirumah kurang belajarnya;positif
untuk materi dan penjelasan di kelas sangat baik dan mudah dipahami;positif
Terimakasih Pak atas kebaikannya;positif
Semoga kedepannya bisa agak lebih keras suaranya dalam menjelaskan materi buk;negatif
semoga pak guru lebih bisa memberikan deadline yang jelas pada pengumpulan tugas di elearning sehingga Siswa tidak ketinggalan info atau kelewatan deadline pada pengumpulan tigas di elearning... setiap ada tugas pasti di elearning tidak muncul info di dashboard karena tugasnya dikira oleh sistem belum ditentukan atau mungkin ada opsi yang kurang ditambahan pada tugas sehingga tidak muncul pemberitahuan pada elearning dan deadlinenya pun tidak muncul;negatif
Tidak ada saran untuk pak , sejauh ini sudah baik;positif
Belajar dari pengalaman;positif
Ketika mengajar suaranya masih kurang terdengar sampai belakang semoga bisa lebih baik;negatif
semester depan tolong tidak banyak tugas:);positif
Sudah mengajar dengan sangat baik;positif
Mungkin bisa diselingi dengan offline 34x pertemuan bu. karena matematika sedikit sulit jika online;negatif
Semoga nilai saya Aman :v tidak ada saran karena proses belajar mengajar telah berjalan dengan lancar;positif
Tetap semangat;positif
mapel sanagt menyenangkan dengan penyampain yang mudah di pahami;positif
per kelas untuk materinya jangan jadi satu;negatif
Untuk kedepannya ketika mengajar bisa lebih dekat lagi denga siswanya;negatif
tidak ada, karena selama ini masih berjalan dengan baik dan semestinya;positif
Saran dari Saya, Bapak dapat lebih berinteraksi lagi kepada Siswa agar suasana pembelajaran tidak monoton;negatif
menjadi lebih baik lagi;positif
sebaikya diadakan kelas offline;negatif
Semoga lebih baik;positif
Belum terdapat saran untuk beliau;positif
Sangat baik penyampaian Materi Agama;positif
Sejauh ini masih baik;positif
Cukup bagi saya;positif
Keren pak, semangat terus;positif
Jangan terlalu cepat menyampaikan materi;negatif
Lebih sabar aja pak menghadapi Siswa;positif
Semoga menjadi lebih baik untuk kedepannya;positif
lebih diperjelas lagi ketika menjelaskan materi;negatif
semoga saat pelajaran komputasi awan bisa melakukan praktikum secara live juga saat kelas berlangsung;negatif
lebih pelan pelanagar lebih paham;negatif
semoga sukses;positif
Guru sudah baik, belum ada saran untuk saat ini;positif
pusing;negatif
Menurut saya sudah baik;positif
Tidak ada saran dari saya. Dalam menjelaskan materi Ibu sudah menerangkan secara baik.;positif
saran saya, jika dari kita (siswa) yang belum mengerti dijelaskan kembali terimakasih;negatif
Lebih interaktif;negatif
membangun suasana Pelajaran yang aktif pada saat dikelas;positif
alhamdulillah tidak ada buu;positif
sudah sempurna;positif
saya suka dengan metode pembelajaran yang lebih interaktif untuk meningkatkan motivasi para siswa, mengajak para Siswa untuk berdiskusi dan membagikan pemikiran mereka tentang topik yang dibahas;positif
Semga sehat selalu;positif
Sangat baik namun lebih ditngkatkan interaksi dengan Siswa;positif
Senoga saya makin giat belajar dan guru nya enak sabar ehehehe;positif
Semoga mendapatkan nilai yang terbaik;positif
bapak gausa takut sama edom pak, pasti hasilnya bagus2.;positif
baik sekali dengan penjelasan materi;positif
mungkin untuk sekarang tidak ada saran sekian dari saya terimakasih;positif
Alhamdulillah untuk pembelajaran materi cukup baik;positif
Semoga kedepannya guru bisa berinteraksi lagi bagi Siswa;negatif
pembelajaran lebih ditingkatkan lagi;positif
karena saya dari smk gaada kimia dan fisika jadi saya kurang paham jika pembelajaran fisika langsung di berikan soal soal, lebih baik seminggu materi seminggu soal¿¿¿ mungkin lebih paham. Terimakasih;negatif
tetap seperti ini;positif
Belum;positif
Penjelasannya sangat terperinci;positif
Guru pengampu sangat menguasai materi namun terkadang hanya fokus pada ppt, tidak mengembangkannya sendiri.;negatif
pembahasan contoh soal;positif
Lebih santai lagi dalam mengajar agar Siswa lebih enjoy karena saling berinteraksi;negatif
Sudah cukup baik, hanya saja interaksi guru lebih dominan kepada angkatan 20, mungkin bisa lebih di sama ratakan saja;negatif
sarannya nilai saya kasih A saja.;positif
Saran dari saya, Ibu Guru sekiranya lebih pelanpelan dalam memberikan materi Pelajaran, sehingga kami dapat memahami satu persatu materi dengan baik.;negatif
terimakasih untuk 1 semesternya pak;positif
mohon untuk diluluskan dalam Pelajaran analisis dan pengendalian biaya dan mendapatkan nilai yang bagus, terimas kasih pak;positif
ditingkatkan metode pengajarannya;negatif
Untuk jadwal mungkin bisa diubah ke hari yang lebih longgar;negatif
kedepannya lebih baik;positif
tidak ada saran karena Gurunya baik dan ramah;positif
hanya mau bilang terimakasih banyak bu udah mengajar selama semester 3 ini, semoga rejekinya lancar dan sehat selalu bu aamiin;positif
Terimahkasih pak atas ilmu yang telah disampaikan;positif
tidak ada saran, karena dalam mengajar Siswa Pak sudah sangat baik;positif
