Survey,clean_text,Label
alhamdulillah tidak ada buu,alhamdulillah tidak buu,positif
sudah sempurna,sempurna,positif
"saya suka dengan metode pembelajaran yang lebih interaktif untuk meningkatkan motivasi para siswa, mengajak para Siswa untuk berdiskusi dan membagikan pemikiran mereka tentang topik yang dibahas",suka metode ajar lebih interaktif tingkat motivasi siswa ajak siswa diskus bagi pikir tentang topik bahas,positif
Semga sehat selalu,semga sehat selalu,positif
Sangat baik namun lebih ditngkatkan interaksi dengan Siswa,sangat baik lebih ditngkatkan interaksi siswa,positif
Senoga saya makin giat belajar dan guru nya enak sabar ehehehe,senoga makin giat ajar guru nya enak sabar ehehehe,positif
Semoga mendapatkan nilai yang terbaik,moga dapat nilai baik,positif
"bapak gausa takut sama edom pak, pasti hasilnya bagus2.",bapak gausa takut sama edom pak hasil bagus,positif
baik sekali dengan penjelasan materi,baik sekali jelas materi,positif
mungkin untuk sekarang tidak ada saran sekian dari saya terimakasih,mungkin sekarang tidak saran sekian saya terimakasih,positif
Alhamdulillah untuk pembelajaran materi cukup baik,alhamdulillah ajar materi cukup baik,positif
Semoga kedepannya guru bisa berinteraksi lagi bagi Siswa,moga depan guru interaksi bagi siswa,negatif
pembelajaran lebih ditingkatkan lagi,ajar lebih tingkat,positif
"karena saya dari smk gaada kimia dan fisika jadi saya kurang paham jika pembelajaran fisika langsung di berikan soal soal, lebih baik seminggu materi seminggu soal¿¿¿ mungkin lebih paham. Terimakasih",smk gaada kimia fisika jadi saya kurang paham ajar fisika langsung ikan soal soal lebih baik minggu materi minggu soal mungkin lebih paham terimakasih,negatif
tetap seperti ini,tetap ini,positif
Belum,belum,positif
Penjelasannya sangat terperinci,jelas sangat perinci,positif
"Guru pengampu sangat menguasai materi namun terkadang hanya fokus pada ppt, tidak mengembangkannya sendiri.",guru ampu sangat kuasa materi terkadang fokus ppt tidak kembang sendiri,negatif
pembahasan contoh soal,bahas contoh soal,positif
Lebih santai lagi dalam mengajar agar Siswa lebih enjoy karena saling berinteraksi,lebih santai dalam ajar siswa lebih enjoy saling interaksi,negatif
"Sudah cukup baik, hanya saja interaksi guru lebih dominan kepada angkatan 20, mungkin bisa lebih di sama ratakan saja",cukup baik interaksi guru lebih dominan angkat mungkin lebih sama rata saja,negatif
sarannya nilai saya kasih A saja.,saran nilai kasih a,positif
"Saran dari saya, Ibu Guru sekiranya lebih pelanpelan dalam memberikan materi Pelajaran, sehingga kami dapat memahami satu persatu materi dengan baik.",saran saya ibu guru sekira lebih pelanpelan beri materi ajar kami paham satu satu materi baik,negatif
terimakasih untuk 1 semesternya pak,terimakasih semester pak,positif
"mohon untuk diluluskan dalam Pelajaran analisis dan pengendalian biaya dan mendapatkan nilai yang bagus, terimas kasih pak",mohon lulus ajar analisis kendali biaya dapat nilai bagus rimas kasih pak,positif
ditingkatkan metode pengajarannya,tingkat metode ajar,negatif
Untuk jadwal mungkin bisa diubah ke hari yang lebih longgar,jadwal mungkin ubah hari lebih longgar,negatif
kedepannya lebih baik,depan lebih baik,positif
tidak ada saran karena Gurunya baik dan ramah,tidak saran guru baik ramah,positif
"hanya mau bilang terimakasih banyak bu udah mengajar selama semester 3 ini, semoga rejekinya lancar dan sehat selalu bu aamiin",mau bilang terimakasih banyak bu udah ajar lama semester moga rejekinya lancar sehat selalu bu aamiin,positif
Terimahkasih pak atas ilmu yang telah disampaikan,terimahkasih pak atas ilmu telah sampai,positif
"tidak ada saran, karena dalam mengajar Siswa Pak sudah sangat baik",tidak saran dalam ajar siswa pak sangat baik,positif
materi yang di berikan melalui bekas record tidak di jelaskan secara langsung dan tergolong berbeda dengan materi yang seharusjy di ajarkan,materi ikan lalu bekas record tidak jelas langsung golong beda materi seharusjy di ajar,negatif
Sudah sangat baik untuk penyampaian materi dan motivasi untuk kelas metpen,sangat baik sampai materi motivasi kelas metpen,positif
"menurut saya, penyampaian materi matematika optimasi terkadang bu masih kurang paham dengan apa yang disampaikan, dan terlalu sering meninggalkan kelas, sehingga siswanya self study, menurut saya itu kurang efektif karena ketika self study, bu tidak memantau apakah soal yang dikerjakan oleh siswanya itu benar atau salah",saya sampai materi matematika optimasi terkadang bu kurang paham apa sampai terlalu sering tinggal kelas siswa self study saya kurang efektif ketika self study bu tidak pantau soal kerja siswa benar salah,negatif
"semoga kedepannya lebih baik lagi, lebih sesuai jam untuk mengajar",moga depan lebih baik lebih sesuai jam ajar,negatif
"Lebih tepat jadwal aja si, kurangi ganti kelas",lebih tepat jadwal aja si kurang ganti kelas,negatif
bu menuturkan materi terlalu cepat sehingga kami tidak bisa menangkap poinpoin yang disampaikan. Supaya bisa saya catat penjelasannya,bu tutur materi terlalu cepat kami tidak tangkap poinpoin sampai bisa catat jelas,negatif
mungkin bisa diperbanyak sheet excel dari modul yang dipelajari untuk diupload dielearning.,mungkin banyak sheet excel modul ajar diupload dielearning,negatif
pak memberikan ilmu dan pengalaman yang sangat bermanfaat,pak beri ilmu alam sangat manfaat,positif
lebih sering untuk berinteraksi mengenai materi,lebih sering interaksi kena materi,negatif
terima kasih bu,terima kasih bu,positif
Semoga Kedepannya menjadi lebih baik lagi,moga depan jadi lebih baik,positif
"Sudah menguasai materi beserta contoh casenya, bisa di pertahankan",kuasa materi serta contoh casenya di tahan,positif
Pembelajaran secara offline lebih gampang dimengerti daripada saat online,ajar offline lebih gampang erti saat online,negatif
"kami butuh penjelasan lebih mengenai materi kuiiah ini dari guru pengajar, bukan dari penjelasan teman2 saat presentasi pemahaman Siswa dengan guru berbeda, bisa jadi banyak yang belum paham mengenai materi yang disampaikan oleh temen2 siswa, terima kasih dan mohon maaf",butuh jelas lebih kena materi kuiiah guru ajar bukan dari jelas teman presentasi paham siswa guru beda jadi banyak belum paham kena materi sampai temen siswa terima kasih mohon maaf,negatif
Penyampaian jelas,sampai jelas,positif
timakasi atas ilmu dan dukungannya dalam proses mengajar pak,timakasi atas ilmu dukung proses ajar pak,positif
cuup baik,cuup baik,positif
"Pak ,saya tidak berkomenta tentang apapun.",pak tidak berkomenta apa,positif
Mungkin kedepannya dari pihak sekolah memberikan materi yang diajarkan pada mapel basis data yang sebelumnya relevan seperti menggunakan Oracle nah lalu kita juga diajarkan membuat aplikasi atau web dengan basis data Oracle tadi,mungkin depan pihak sekolah beri materi ajar mapel basis data belum relevan guna oracle nah lalu juga ajar buat aplikasi web basis data oracle tadi,negatif
terimakasih Bu telah mengajar saya. mohon bimbingannya kedepan,terimakasih bu ajar mohon bimbing depan,positif
"Bu sudah memaparkan segala materi yang terlihat susah menjadi mudah, semangat terus untuk bu",bu papar segala materi lihat susah jadi mudah semangat terus bu,positif
Semangat mengajar bu,semangat ajar bu,positif
Semoga Bu semangat mengajar,moga bu semangat ajar,positif
"terimakasih bu atas pengajaran yang maksimal, semoga ilmu yang diberikan dapat memberikan manfaat bagi Siswa dan semoga ibu mendapatkan balasan yang lebih dari tuhan yang maha esa",terimakasih bu atas ajar maksimal moga ilmu beri beri manfaat siswa moga ibu dapat balas lebih tuhan maha esa,positif
bismillahirrohmanirrohim,bismillahirrohmanirrohim,positif
Semangat pak !!!!,semangat pak,positif
Pembelajaran disampaikan dengan menarik,ajar sampai tarik,positif
"mohon untuk diluluskan dalam Pelajaran algoritma dan pemrograman dan mendapat nilai yang bagus, terima kasih pak",mohon lulus ajar algoritma pemrograman dapat nilai bagus terima kasih pak,positif
Terimakasih,terimakasih,positif
"overall dalam memberikan materi pada saat Pelajaran sangat baik, that's all thank you pak",overall beri materi saat ajar sangat baik that s all thank you pak,positif
lebih ditingkat kan lagi dalam menyeleksi kemampuan guru baru,lebih tingkat kan dalam seleksi mampu guru baru,negatif
Lebih ditingkatkan lagi keramahan dalam pembelajaran,lebih tingkat ramah ajar,negatif
Dalam memberikan materi sudah baik,beri materi baik,positif
"TIdak ada,sejauh ini ibuknya sudah baik dalam menjalankan tugasnya sebagai seorang guru",tidak jauh ibuknya baik jalan tugas orang guru,positif
sangat baik dan teliti,sangat baik teliti,positif
Semoga untuk kedepannya bisa lebih baik lagi,moga depan lebih baik,positif
lebih diperdetail lagi materinya,lebih detail materi,negatif
lebih baik lagi untuk kedepannya,lebih baik untuk depan,positif
"Sangat baik, DIkarenakan guru membebaskan Siswa untuk memilih apakah serius belajar atau ga, soalnya waktu absensi, biasanya Guru/asisten mengabsen semua siswa/siswi",sangat baik karena guru bebas siswa pilih serius ajar ga soal waktu absensi biasa guru asisten absen semua siswa siswi,positif
"Lebih semangat dalam mengajar, penjelasan materi dan sumber materi sedikit kurang",lebih semangat ajar jelas materi sumber materi sedikit kurang,negatif
semangat bu <3,semangat bu,positif
Semoga dalam menjelaskan materinya lebih jelas lagi,moga jelas materi lebih jelas,positif
Mungkin bisa lebih diperbanyak ke latihan soal,mungkin lebih banyak latih soal,positif
lebih baik lagi dalam menerangkan kepada Siswa,lebih baik dalam terang siswa,negatif
"teorinya oke, prakteknyaaaaa jarang bangetttt. padahal harusnya banyakin praktek mapel ini soalnya relevan banget",teori oke prakteknyaaaaa jarang bangetttt padahal harus banyakin praktek mapel soal relevan banget,negatif
sudah baik di pertahankan dan di tingkatkan lagi pak:),baik tahan di tingkat pak,positif
Semangat buk we love youu,semangat buk we love youu,positif
"baik, terimakasih bu",baik terimakasih bu,positif
"kalau pembelajaran dilaksanakan secara offline, akan lebih paham Siswa dalam menguasai materi",kalau ajar laksana offline lebih paham siswa kuasa materi,negatif
Mengajar pak seru,ajar pak seru,positif
Kedepanya lebih baik lagi,depa lebih baik,negatif
"Metode pembelajaran menarik dan sudah cukup baik. Semoga tugasnya dikurangin pak saya harap Pak dapat lebih memahami materi yang diampu, karena seringkali antara guru dan Siswa masih sering kebingungan dengan materi tersebut. Over all Pak adalah guru yang paling semangat dan selalu ceria.",metode ajar tarik sudah cukup baik moga tugas rangin pak harap pak lebih paham materi ampu seringkali guru siswa sering bingung materi sebut over all pak guru paling semangat selalu ceria,negatif
sukses selaluu bu/pak,sukses selaluu bu pak,positif
"semoga selalu menjadi lebih baik, terima kasih :)",moga selalu jadi lebih baik terima kasih,positif
penyampaian materi mudah diterima dan dipahami,sampai materi mudah terima paham,positif
"Kadang jika saya duduk di bagian belakang, suara bu guru tidak kedengaran",kadang saya duduk bagi belakang suara bu guru tidak dengar,negatif
terima kasih untuk ilmu dan waktunya satu semester ini bu. mohon maaf atas segala kesalahan saya dan temanteman selama ini. semoga dengan ilmu dari ibu dapat membantu kami dalam berproses,terima kasih ilmu waktu satu semester bu mohon maaf atas segala salah dan temanteman lama moga ilmu ibu bantu dalam proses,positif
"Semoga kedepannya pembelajaran bisa lebih interaktif lagi, maksud saya guru tidak hanya mengajar secara teori saja, tetapi dari beberapa pertemuan bisa diselingi dengan games2 menarik seperti quizziz atau kahoot materi minggu lalu, Forum grup discussion, praktek teori, membahas tugas Siswa minggu lalu dll. Jadi guru juga tidak semerta merta hanya menjelaskan saja.",moga depan ajar lebih interaktif maksud guru tidak ajar teori tetapi beberapa temu ling games tarik quizziz kahoot materi minggu lalu forum grup discussion praktek teori bahas tugas siswa minggu lalu jadi guru tidak merta merta jelas,negatif
"sudah baik, bisa ditingkatkan lebih baik lagi",baik tingkat lebih baik,positif
Sering komunikasi dengan aspraknya pak biar tidak miskom seperti adanya beberapa hal yang berbeda antara bapak dengan aspraknya,sering komunikasi asprak pak biar tidak miskom ada beberapa yang beda bapak asprak,negatif
SEMOGA KEDEPANYA LEBIH BAIK DARI SEBELUMNYA,moga depa lebih baik belum,positif
Kurang pendekatan ke Siswa lebih kearah penyampain materi saja,kurang dekat siswa lebih arah penyampain materi,negatif
"Secara keseluruhan pengajaran Pelajaran pak sudah sangat bagus. Dengan penguasaan materi dan penjelasan yang diberikan sangat jelas dapat menjawab ketidaktahuan kami, serta memberikan sebuah ilmu baru bagi kami. Terima kasih pak",seluruh ajar ajar pak sangat bagus kuasa materi jelas beri sangat jelas jawab ketidaktahuan serta beri buah ilmu baru kami terima kasih pak,positif
Kalau mengajar di dalem kelas usahakan berdiri seperti GuruGuru yang lain agar Siswa nya bisa lebih semangat lagi,kalau ajar dalem kelas usaha diri guruguru lain siswa nya lebih semangat,negatif
Dikarenakan guru juga baru mengenal bahasa C jadi terkadang pengajaran diputar2 dan kadang membingungkan,karena guru baru kenal bahasa c jadi terkadang ajar putar kadang bingung,negatif
Cukup baik dala menyampaikan materi,cukup baik dala sampai materi,positif
muantep,muantep,positif
Tetap semangat dalam memberikan ilmu kepada Siswa di,tetap semangat beri ilmu siswa,positif
lakukan pembelajaran tatap muka,laku ajar tatap muka,positif
Sangat baik sekali,sangat baik sekali,positif
"kalo bisa pembelajaran offline, sama guru lebih memperhatikan Siswa",kalo ajar offline sama guru lebih perhati siswa,negatif
Terbaik dalam metode pemaparan materi Pelajaran,baik metode papar materi ajar,positif
Lebih lengkap memberikan materi untuk tugas yang bersangkutan. Jangan memberikan tugas yang materinya belum pernah diajarkan.,lebih lengkap beri materi tugas sangkut jangan beri tugas materi belum pernah ajar,negatif
materi cukup membuat saya mendapat hidayah,materi cukup buat dapat hidayah,positif
Guru sangat baik dalam mengajar,guru sangat baik ajar,positif
MUNGKIN BISA OFFLINE BU,mungkin offline bu,negatif
saya berharap bapak bisa meningkatkan lagi cara mengajarnya.,harap bapak tingkat cara ajar,positif
"Gurunya enak, sayang banget sering tidak jadi kelas. Pemilihan asprak mohon perhatikan tingkah lakunya juga",guru enak sayang banget sering tidak jadi kelas pilih asprak mohon perhati tingkah laku,negatif
dan bisa lebih sabar lagi,bisa lebih sabar,negatif
Keep Up The Good Work,keep up the good work,positif
suara nya terlalu kecil pak kadang tidak dengar,suara nya terlalu kecil pak kadang tidak dengar,negatif
semakin ditingkatkan lagi untuk pembelajarannya,makin tingkat untuk ajar,negatif
semangat mengajar ibuuuuu,semangat ajar ibuuuuu,positif
Semoga kedepannya dalam menjelaskan dapan lebih membuat kelas kondusif,moga depan jelas dap lebih buat kelas kondusif,negatif
Terima Kasih atas usahanya,terima kasih atas usaha,positif
"jika memberi tugas harus sesuai materi yg disampaikan, jangan sampai melebihi batas",beri tugas sesuai materi yg sampai jangan lebih batas,negatif
Lebih baik memberikan nilai ke Siswa,lebih baik beri nilai siswa,positif
Semoga guru bisa membuat kelas lebih hidup lagi agar kelas menjadi semakin menarik dan membuat motivasi belajar meningkat,moga guru buat kelas lebih hidup agar kelas jadi makin tarik buat motivasi ajar tingkat,positif
untuk pengajaran sudah cukup baik semoga lebih dikembangkan agar Siswa menyimak baik mapel tersebut,ajar cukup baik moga lebih kembang siswa simak baik mapel sebut,positif
pertemuan diadakan offline,temu ada offline,negatif
Pembelajarannya seru dan tidak membosankan,ajar seru tidak bosan,positif
Baik dalam menjelaskan materi alpro,baik jelas materi alpro,positif
Kalau dari saya sudah bagus bapak dalam memberikan materi terimakasih,kalau saya bagus bapak beri materi terimakasih,positif
Sama kaya tadi bu xixixi,sama kaya tadi bu xixixi,positif
"terimakasih atas ilmu ilmu yang telah ibu sampaikan,semoga ilmunya bermanfaat selalu",terimakasih atas ilmu ilmu telah ibu sampai moga ilmu manfaat selalu,positif
"tidak ada, semua serba enak dikarenakan online",tidak semua serba enak karena online,positif
Semoga bisa lebih baik lagi dalam mengajar.,moga lebih baik dalam ajar,positif
kelas sebaiknya dilakukan offline apalagi Pelajaran yang diajarkan butuh fokus yang berlebih. Mohon jangan memberatkan Siswa karena tidak hanya Pelajaran ini saja yang berprogres,kelas baik laku offline ajar ajar butuh fokus lebih mohon jangan berat siswa tidak ajar saja progres,negatif
"dalam penugasan hendaknya secara berkelompok supaya yang masih belum paham bisa langsung saling sharing dan belajar ke temannya yang sudah paham, serta hendaknya ada lembar kontribusi dalam penugasan. Lalu untuk ujian (misalnya saat UTS kemarin) jangan secara individu karena Pelajaran statistika bisnis ini sangat berat jika harus dibebnakan ujiannya per individu :(",tugas hendak kelompok belum paham langsung saling sharing ajar teman yang sudah paham hendak lembar kontribusi tugas lalu uji misal uts kemarin jangan individu ajar statistika bisnis sangat berat harus dibebnakan uji per individu,negatif
Terima kasih,terima kasih,positif
Lebih menghargai Siswa,lebih harga siswa,negatif
"mohon lebih profesional lagi dalam mengajar, jadwal matematika DB 0202 berhimpit dengan praktikum ltik di lab. Mohon pengertiannya kenapa kami terlambat. Pengajaran Matematika dilaksanakan secara zoom, saya mohon sekali kepada ibu agar menyampaikan materinya dengan lebih baik dan interaktif lagi. Tolong memberikan contoh menggunakan bahasa Indonesia bukan jurnal bahasa inggris, lalu tolong berikan stepstep cara mengerjakan yang benar seperti apa. Saya dan temanteman berharap ibu bisa membuat power point dalam mengajar dan memberikan pengertian materi dan contoh soal serta pengerjaannya secara spesifik. Saya dan temanteman merasa kesulitan memahami materi yang ibu berikan. Jika ibu memberikan dan menyampaikan materi dengan baik, pasti saya dan temanteman tidak akan kesulitan dalam mengerjakan tugas. Materinya saja saya tidak paham, bagaimana saya dan temanteman bisa mengerjakan tugas yang diberikan oleh ibu. Saya tidak mempermasalahkan tugas yang diberikan oleh ibu, tetapi saya mohon diimbangi dengan penyampaian materi dengan baik, agar kami bisa memahami dan mengerjakan tugas dengan baik juga. terima kasih, saya mengisi kuesioner ini dengan jujur sesuai apa yang saya dan temanteman rasakan.",mohon lebih profesional ajar jadwal matematika db berhimpit praktikum ltik lab mohon erti kami lambat ajar matematika laksana zoom mohon sekali ibu sampai materi lebih baik interaktif beri contoh guna bahasa indonesia bukan jurnal bahasa inggris lalu tolong ikan stepstep cara kerja benar apa temanteman harap ibu buat power point ajar beri erti materi contoh soal kerja spesifik temanteman rasa sulit paham materi ibu ikan ibu beri sampai materi baik temanteman tidak sulit dalam kerja tugas materi tidak paham bagaimana dan temanteman kerja tugas beri ibu saya tidak masalah tugas beri ibu saya mohon imbang sampai materi baik kami paham dan kerja tugas baik terima kasih saya isi kuesioner dengan jujur sesuai apa saya dan temanteman rasa,negatif
Saran saya yaitu untuk lebih variatif lagi dalam penyampaian materi,saran yaitu lebih variatif dalam sampai materi,positif
cara mengajar mudah dipahami agar sebagai pemula bisa belajar dengan baik,cara ajar mudah paham bagai mula ajar baik,positif
"belum ada, terima kasih pak :)",belum terima kasih pak,positif
Semoga semakin lebih baik,moga makin lebih baik,positif
Semoga kedepannya Pak bisa mengajar dengan on point supaya materinya bisa dipahami dengan baik,moga depan pak ajar on point materi paham baik,negatif
"Semoga materinya diiupload di elearning bu, terimakasih bu",moga materi diiupload elearning bu terimakasih bu,negatif
"Gurunya baik, saran dari saya, ibu guru perlu mengadirkan variasi mengajar baru dengan isu isu relevan pada masa kini",guru baik saran saya ibu guru perlu kadir variasi ajar baru isu isu relevan masa kini,negatif
semangattt untuk kedepan nya,semangattt depan nya,positif
Baik semua ¿¿¿¿,baik semua,positif
Mungkin lebih memperbanyak kelas offline daripada kelas online,mungkin lebih banyak kelas offline kelas online,negatif
tidak ada saran pak,tidak saran pak,positif
anda menganjar sudah sangat baik,anjar sangat baik,positif
"pak, kalau menyampaikan materi nya tolong banget pak untuk memberikan materi dan soal nya itu sepadan dengan materi yang disampaikan nya pak",pak kalau sampai materi nya banget pak beri materi soal nya padan materi sampai nya pak,negatif
mungkin kedepannya penjelasan saat bersama Siswa yang di tunjuk jadi pendamping bsa di diskusikan agar Siswa tidak kaget,mungkin depan jelas sama siswa tunjuk jadi damping bsa di diskusi siswa tidak kaget,negatif
"terimakasih pak , selalu mudeng ketika menjelaskan materi",terimakasih pak selalu mudeng jelas materi,positif
Kalau bisa kelasnya offline saja biar seperti Pelajaran lain yang sudah offline semua.,kalau kelas offline biar ajar yang offline semua,negatif
Sudah sangat baik,sangat baik,positif
Dikarenakan faktor Pelajaran online membuat Pelajaran menjadi kurang efektif karena jaringan internet setiap anak berbeda yang membuat tidak dapat hadir maupun berinteraksi secara natural,karena faktor ajar online buat ajar jadi kurang efektif jaring internet anak beda buat tidak hadir maupun interaksi natural,negatif
Typoo nya bu,typoo nya bu,negatif
Pak guru sudah memenuhi semua aspek dengan sangat baik.,pak guru penuh semua aspek sangat baik,positif
semoga suara ketika mengajar diperjelas dan keras karena terkadang penyampaian materi kurang terdengar,moga suara ajar jelas keras terkadang sampai materi kurang dengar,negatif
"Untuk materi mungkin masih kurang bagi kami, tapi untuk praktikum menurut saya sudah bagus karena IoT memang butuh beberapa kali praktek",materi mungkin kurang kami untuk praktikum saya bagus iot memang butuh beberapa kali praktek,negatif
"Tidak ada Saran, dikarenakan menurut saya guru sudah memberikan Materi Secara baik Kepada siswanya.",tidak saran karena saya guru beri materi baik siswa,positif
"Mungkin dalam Pelajaran kelas offline, jika ada kendala dalam melakukan kelas offline maka dilaksanakan dengan kelas online agar bisa mengejar materi dan waktu",mungkin ajar kelas offline ada kendala laku kelas offline laksana kelas online bisa kejar materi waktu,negatif
Menambah materi tentang LITIK masa sekarang,tambah materi litik masa sekarang,negatif
pembelajaran kedepannya tetap di adakan secara offline,ajar depan tetap adakan offline,negatif
untuk pembelajaran sudah sangat baik dan materi mudah diterima,ajar sangat baik materi mudah terima,positif
semangatt trus,semangatt trus,positif
"belum ada, terima kasih bu",belum terima kasih bu,positif
"mengajarnya kurang masuk disaya, saya cukup sulit menerima Pelajaran ini karena tidah paham",ajar kurang masuk saya cukup sulit terima ajar karena tidah paham,negatif
Lebih semangat dan menjelaskan materi dengan detail.,lebih semangat jelas materi detail,positif
terimakasiih,terimakasiih,positif
Guru perfect yang sangat baik sebagai pendenger siswanya hehe,guru perfect sangat baik pendenger siswa hehe,positif
"Saran untuk kedepannya pembelajaran untuk Siswa asynchronus bisa diberi akses mudah untuk melihat rekaman Pelajaran karena jika hanya diberi tugas serta materi dalam bentuk ppt, Siswa harus mencari cara atau video pembelajaran sendiri lewat youtube",saran depan ajar siswa asynchronus beri akses mudah lihat rekam ajar jika beri tugas materi bentuk ppt siswa cari cara video ajar sendiri lewat youtube,negatif
mungkin di saat bapak tidak mengajar kita bsa mendapatkan materi yang hari disaat bapak tidak mengajar agar kta bsa baca baca dulu,mungkin saat bapak tidak ajar bsa dapat materi hari saat bapak tidak ajar kta bsa baca baca dulu,negatif
Semoga bisa lebih tepat waktu,moga lebih tepat waktu,negatif
diperbanyak contoh latihan soalnya pak. terutama soal cerita,banyak contoh latih soal pak utama soal cerita,negatif
"Sudah baik, dan bisa ditingkatkan kembali",baik bisa tingkat,positif
"Oleh karena itu, saat FP kami cukup kesulitan dalam pelaksanaannya karena kita tidak diajarkan dalam pengimplementasiannya dalam dengan dalam sebuah study kasus",saat fp cukup sulit laksana karena kita tidak ajar implementasi dengan buah study kasus,negatif
lebih semangat lagi mengajarnya bu,lebih semangat ajar bu,positif
Mungkin bisa lebih interaktif lagi dengan Siswa bapak. Terimakasih untuk 1 semesternya,mungkin lebih interaktif dengan siswa bapak terimakasih semester,positif
Tidak ada saran menurut saya sudah cukup,tidak saran saya cukup,positif
"makul yang menurut saya (lumayan) sulit. tetapi semua nya baik, mungkin terkadang ibu menjelaskan nya terlalu cepat, tetapi ketika temanteman tidak paham ibu langsung menjelaskannya dengan baik.",makul turut lumayan sulit semua nya baik mungkin terkadang ibu jelas nya terlalu cepat ketika temanteman tidak paham ibu langsung jelas baik,positif
Mencari Dan mendobrak Siswa yang tidak bisa agar bisa,cari dobrak siswa tidak agar,positif
semoga lebih baik lagi kedepannya dan terima kasih sudah memberi ilmu yang bermanfaat untuk saya,moga lebih baik depan terima kasih beri ilmu manfaat saya,positif
"semua nya baik, untuk menyamapaikan materi juga sangat baik dan jelas. mungkin saya sedikit bingung karena materi all inggris. lovvv ibu semoga kita bertemu lagi di semester depan lov",semua nya baik menyamapaikan materi sangat baik jelas mungkin sedikit bingung materi all inggris lovvv ibu moga temu di semester depan lov,positif
Perlu sekali2 diadakan pembelajaran offline. Supaya dapat saling berinteraksi. Terimakasih,perlu sekali ada ajar offline dapat saling interaksi terimakasih,negatif
Lebih Semangat dalam mengajar nya bu,lebih semangat ajar nya bu,positif
Nothing,nothing,positif
Semoga kepedannya guru di semakin lebih baik,moga dan guru makin lebih baik,positif
Saya hanya berharap bahwa kedepannya Pelajaran matematika dapat dilaksanakan offline.,hanya harap depan ajar matematika laksana offline,negatif
"Semoga kedepannya bisa offline pak, bapak ngajarnya seru dan sangat jelas",moga depan offline pak bapak ngajarnya seru sangat jelas,negatif
Mohon maaf guru sedikit gaptek tentang igracias untuk menginput absen dan pembelajaran. yang tidak ada kesepakatan sebelumnya dengan Siswa untuk membuat video setiap Minggu namun hal itu dilakukan setiap minggunya,mohon maaf guru sedikit gaptek igracias menginput absen ajar tidak sepakat belum siswa buat video minggu hal laku minggu,negatif
Metode pelajaran dengan materi sudah baik kedepannya lebih sering di terangkan materi dan contoh soal dengan lebih detail,metode ajar materi baik depan lebih sering terang materi contoh soal lebih detail,negatif
(tidak ada),tidak,positif
Sip bu !!!,sip bu,positif
"Untuk guru manajemen proyek SI/IT ibu afifiana, mohon maaf ibu untuk kedepannya mungkin jika menjelaskan jangan seperti baca ppt saja dan seperti kurang memahami isi materi yang disampaikan",guru manajemen proyek si it ibu afifiana mohon maaf ibu depan mungkin jelas jangan baca ppt dan kurang paham isi materi sampai,negatif
mungkin suara bisa lebih kencang lagi tapi ini bukan sebuah keharusan jika melihat kelas saya yang terkadang ramai,mungkin suara lebih kencang tapi bukan buah harus lihat kelas yang terkadang ramai,negatif
Sangat baik mohon dipertahankan,sangat baik mohon tahan,positif
"Saran dari saya, semoga dalam pembelajaran dapat menyampaikan candaan selama kelas berlangsung beberapa kali untuk membuat suasana diskusi tidak begitu intens.",saran saya moga ajar sampai canda lama kelas langsung beberapa kali buat suasana diskusi tidak intens,negatif
Semoga bisa lebih baik lagi dari sebelumnya,moga lebih baik dari belum,positif
Tetap semangat dan stay healthy sir.,tetap semangat stay healthy sir,positif
baik dalam pengajaran,baik ajar,positif
Mungkin untuk penjelasannya lebih di sederhana lagi agar mudah dan bisa di mengerti oleh siswa/i. Terlebih untuk yg lulusan SMA,mungkin jelas lebih sederhana agar mudah bisa erti siswa i lebih yg lulus sma,negatif
"Untuk penyampaian materi sudah cukup baik, mungkin untuk PPT bisa dibuat lebih menarik dengan menampilkan lebih banyak gambar dibanding text seperti yang sudah disampaikan oleh guru tersebut pada saat Pelajaran Cloud Computing",sampai materi cukup baik mungkin ppt buat lebih tarik tampil lebih banyak gambar banding text yang sampai guru sebut saat ajar cloud computing,negatif
Tetap sabar terus bu,tetap sabar terus bu,positif
Bapaknya sering lupa kelas,bapak sering lupa kelas,negatif
guru oke,guru oke,positif
Semngat pak,semngat pak,positif
"lebih baik lagi dalam penyampaian materi dan komunikasi antara guru serta Siswa lebih interaktif lagi, thank you",lebih baik dalam sampai materi komunikasi guru siswa lebih interaktif thank you,negatif
TIDAK ADA,tidak,positif
Bu ter sarangeyo,bu ter sarangeyo,positif
Semoga kedepannya bu mengajar lbh baik,moga depan bu ajar lbh baik,positif
sudah cukup baik dalam bimbingan,cukup baik bimbing,positif
karena menurut saya cara mengajar sudah baik jadi saran saya cukup mempertahankan cara mengajarnya,turut cara ajar baik jadi saran cukup tahan cara ajar,positif
Tidak ada sudah cukup baik,tidak sudah cukup baik,positif
"untuk pengajaran sudah baik,namun perlu adanya materi yang benar benar berhubungan dengan tubes agar Siswa bisa mengerjaan dengan baik",ajar baik perlu ada materi benar benar hubung tubes siswa kerja baik,negatif
Mungkin untuk pertemuan yang materi bahasannya berat bisa ditambah games sedikit biar tidak sakit kepala.,mungkin temu materi bahas berat tambah games sedikit biar tidak sakit kepala,negatif
Pak is the best.,pak is the best,positif
MAKASIH PAK ATAS ILMUNYA,makasih pak atas ilmu,positif
baikk dalam mengajar,baikk ajar,positif
